id,query_predicted,query_expected,result_predicted,result_expected,query_accuracy,execution_accuracy,VQA
10,"SELECT FUNC_VQA(""Are there cardiac pacer and wires present?"", ""57179088"") AS ""57179088_pacer_and_wires"", FUNC_VQA(""Are there cardiac pacer and wires present?"", ""54711520"") AS ""54711520_pacer_and_wires"" ;","select ( select (func_vqa(""are there cardiac pacer and wires?"", t1.study_id) = true) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id = 57179088 ) as t1 ) and ( select (func_vqa(""are there cardiac pacer and wires?"", t2.study_id) = true) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id = 54711520 ) as t2 )","   57179088_pacer_and_wires  54711520_pacer_and_wires
0                         1                         1","   ( select (func_vqa(""are there cardiac pacer and wires?"", t1.study_id) = true) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id = 57179088 ) as t1 ) and ( select (func_vqa(""are there cardiac pacer and wires?"", t2.study_id) = true) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id = 54711520 ) as t2 )
0                                                  1                                                                                                                                                                                                                                                                                        ",False,False,local
13,"SELECT ""STUDY_ID"", func_vqa(""Is there any evidence of abnormalities still absent?"") as ""Abnormalities_Still_Absent"" FROM ""TB_CXR"" WHERE ""STUDY_ID"" = 55949143 ORDER BY ""STUDYDATETIME"" DESC LIMIT 1;","select ( select (func_vqa(""is there any evidence of abnormality?"", t1.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id = 55949143 ) as t1 ) and ( select (func_vqa(""is there any evidence of abnormality?"", t2.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = ( select distinct tb_cxr.subject_id from tb_cxr where tb_cxr.study_id = 55949143 ) and tb_cxr.studydatetime < ( select tb_cxr.studydatetime from tb_cxr where tb_cxr.study_id = 55949143 ) order by tb_cxr.studydatetime desc limit 1 ) as t2 )","                                               error
0  Database error occurred: Execution failed on s...","   ( select (func_vqa(""is there any evidence of abnormality?"", t1.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id = 55949143 ) as t1 ) and ( select (func_vqa(""is there any evidence of abnormality?"", t2.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = ( select distinct tb_cxr.subject_id from tb_cxr where tb_cxr.study_id = 55949143 ) and tb_cxr.studydatetime < ( select tb_cxr.studydatetime from tb_cxr where tb_cxr.study_id = 55949143 ) order by tb_cxr.studydatetime desc limit 1 ) as t2 )
0                                                  0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ",False,False,local
39,"SELECT ""STUDY_ID"", func_vqa(""Do the findings indicate any technical assessments still absent compared to the earlier study?"", ""STUDY_ID"") AS ""Assessment_Status"" FROM TB_CXR WHERE ""SUBJECT_ID"" = 12716528 ORDER BY ""STUDYDATETIME"" DESC LIMIT 1;","select ( select (func_vqa(""do the findings indicate any technical assessments?"", t1.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 12716528 and strftime('%y',tb_cxr.studydatetime) = '2103' order by tb_cxr.studydatetime desc limit 1 ) ) as t1 ) and ( select (func_vqa(""do the findings indicate any technical assessments?"", t2.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 12716528 and tb_cxr.studydatetime < ( select distinct tb_cxr.studydatetime from tb_cxr where tb_cxr.study_id in ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 12716528 and strftime('%y',tb_cxr.studydatetime) = '2103' order by tb_cxr.studydatetime desc limit 1 ) ) ) order by tb_cxr.studydatetime desc limit 1 ) as t2 )","   study_id Assessment_Status
0  50289197                  ","   ( select (func_vqa(""do the findings indicate any technical assessments?"", t1.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 12716528 and strftime('%Y',tb_cxr.studydatetime) = '2103' order by tb_cxr.studydatetime desc limit 1 ) ) as t1 ) and ( select (func_vqa(""do the findings indicate any technical assessments?"", t2.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 12716528 and tb_cxr.studydatetime < ( select distinct tb_cxr.studydatetime from tb_cxr where tb_cxr.study_id in ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 12716528 and strftime('%Y',tb_cxr.studydatetime) = '2103' order by tb_cxr.studydatetime desc limit 1 ) ) ) order by tb_cxr.studydatetime desc limit 1 ) as t2 )
0                                                  0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ",False,False,local
76,"SELECT func_vqa(""compared to the previous study, does the last study for patient 17281190 this year reveal any abnormalities in the left mid lung zone still absent?"", ""STUDY_ID"") FROM ""TB_CXR"" WHERE ""SUBJECT_ID"" = 17281190 AND strftime('%Y', ""STUDYDATETIME"") = strftime('%Y', 'now') ORDER BY ""STUDYDATETIME"" DESC LIMIT 1;","select ( select (func_vqa(""does the left mid lung zone reveal any abnormality?"", t1.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 17281190 and datetime(tb_cxr.studydatetime,'start of year') = datetime(current_time,'start of year','-0 year') order by tb_cxr.studydatetime desc limit 1 ) ) as t1 ) and ( select (func_vqa(""does the left mid lung zone reveal any abnormality?"", t2.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 17281190 and tb_cxr.studydatetime < ( select distinct tb_cxr.studydatetime from tb_cxr where tb_cxr.study_id in ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 17281190 and datetime(tb_cxr.studydatetime,'start of year') = datetime(current_time,'start of year','-0 year') order by tb_cxr.studydatetime desc limit 1 ) ) ) order by tb_cxr.studydatetime desc limit 1 ) as t2 )","Empty DataFrame
Columns: [func_vqa(""compared to the previous study, does the last study for patient 17281190 this year reveal any abnormalities in the left mid lung zone still absent?"", ""STUDY_ID"")]
Index: []","  ( select (func_vqa(""does the left mid lung zone reveal any abnormality?"", t1.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 17281190 and datetime(tb_cxr.studydatetime,'start of year') = datetime(current_time,'start of year','-0 year') order by tb_cxr.studydatetime desc limit 1 ) ) as t1 ) and ( select (func_vqa(""does the left mid lung zone reveal any abnormality?"", t2.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 17281190 and tb_cxr.studydatetime < ( select distinct tb_cxr.studydatetime from tb_cxr where tb_cxr.study_id in ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 17281190 and datetime(tb_cxr.studydatetime,'start of year') = datetime(current_time,'start of year','-0 year') order by tb_cxr.studydatetime desc limit 1 ) ) ) order by tb_cxr.studydatetime desc limit 1 ) as t2 )
0                                               None                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",False,False,local
106,"SELECT func_vqa(""does the second to last study reveal still present fluid overload/heart failure in the right lung compared to the first study this year?"", ""STUDY_ID"") FROM TB_CXR WHERE ""SUBJECT_ID"" = 16345504 AND strftime('%Y', ""STUDYDATETIME"") = strftime('%Y', date('now')) ORDER BY ""STUDYDATETIME"" LIMIT 1 OFFSET 1;","select ( select (func_vqa(""does the right lung reveal fluid overload/heart failure?"", t1.study_id) = true) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 16345504 and datetime(tb_cxr.studydatetime,'start of year') = datetime(current_time,'start of year','-0 year') order by tb_cxr.studydatetime desc limit 1 offset 1 ) ) as t1 ) and ( select (func_vqa(""does the right lung reveal fluid overload/heart failure?"", t2.study_id) = true) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 16345504 and datetime(tb_cxr.studydatetime,'start of year') = datetime(current_time,'start of year','-0 year') order by tb_cxr.studydatetime asc limit 1 ) ) as t2 )","Empty DataFrame
Columns: [func_vqa(""does the second to last study reveal still present fluid overload/heart failure in the right lung compared to the first study this year?"", ""STUDY_ID"")]
Index: []","  ( select (func_vqa(""does the right lung reveal fluid overload/heart failure?"", t1.study_id) = true) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 16345504 and datetime(tb_cxr.studydatetime,'start of year') = datetime(current_time,'start of year','-0 year') order by tb_cxr.studydatetime desc limit 1 offset 1 ) ) as t1 ) and ( select (func_vqa(""does the right lung reveal fluid overload/heart failure?"", t2.study_id) = true) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 16345504 and datetime(tb_cxr.studydatetime,'start of year') = datetime(current_time,'start of year','-0 year') order by tb_cxr.studydatetime asc limit 1 ) ) as t2 )
0                                               None                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ",False,False,local
256,"SELECT ""anatomical_location"" FROM func_vqa(""enumerate all anatomical locations related to any technical assessments that are still present based on the first study on the last hospital visit compared to the previous study"", ""study_id"") WHERE ""study_id"" IN ( SELECT DISTINCT ""study_id"" FROM TB_CXR cxr JOIN ( SELECT ""HADM_ID"", ""STUDY_ID"" FROM TB_CXR WHERE ""SUBJECT_ID"" = 16476036 ORDER BY ""STUDYDATETIME"" DESC LIMIT 2 ) sub ON cxr.""HADM_ID"" = sub.""HADM_ID"" AND cxr.""STUDY_ID"" = sub.""STUDY_ID"" )","select func_vqa(""enumerate all anatomical locations related to any technical assessments."", t1.study_id) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.hadm_id in ( select admissions.hadm_id from admissions where admissions.subject_id = 16476036 and admissions.dischtime is not null order by admissions.admittime desc limit 1 ) order by tb_cxr.studydatetime asc limit 1 ) ) as t1 intersect select func_vqa(""enumerate all anatomical locations related to any technical assessments."", t2.study_id) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 16476036 and tb_cxr.studydatetime < ( select distinct tb_cxr.studydatetime from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.hadm_id in ( select admissions.hadm_id from admissions where admissions.subject_id = 16476036 and admissions.dischtime is not null order by admissions.admittime desc limit 1 ) order by tb_cxr.studydatetime asc limit 1 ) ) order by tb_cxr.studydatetime desc limit 1 ) as t2","                                               error
0  Database error occurred: Execution failed on s...","Empty DataFrame
Columns: [func_vqa(""enumerate all anatomical locations related to any technical assessments."", t1.study_id)]
Index: []",False,False,local
578,"SELECT func_vqa(""what anatomical findings in the right chest wall are still absent compared to the previous study?"", ""tb_cxr"".""STUDY_ID"") FROM ""TB_CXR"" WHERE ""TB_CXR"".""SUBJECT_ID"" = 10020740 AND strftime('%Y', ""TB_CXR"".""STUDYDATETIME"") = '2104' ORDER BY ""TB_CXR"".""STUDYDATETIME"" DESC LIMIT 1;","select ( select (func_vqa(""can you find any anatomical findings in the right chest wall?"", t1.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 10020740 and strftime('%y',tb_cxr.studydatetime) = '2104' order by tb_cxr.studydatetime desc limit 1 ) ) as t1 ) and ( select (func_vqa(""can you find any anatomical findings in the right chest wall?"", t2.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 10020740 and tb_cxr.studydatetime < ( select distinct tb_cxr.studydatetime from tb_cxr where tb_cxr.study_id in ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 10020740 and strftime('%y',tb_cxr.studydatetime) = '2104' order by tb_cxr.studydatetime desc limit 1 ) ) ) order by tb_cxr.studydatetime desc limit 1 ) as t2 )","  func_vqa(""what anatomical findings in the right chest wall are still absent compared to the previous study?"", ""tb_cxr"".""STUDY_ID"")
0                                       rib fracture                                                                                ","   ( select (func_vqa(""can you find any anatomical findings in the right chest wall?"", t1.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 10020740 and strftime('%Y',tb_cxr.studydatetime) = '2104' order by tb_cxr.studydatetime desc limit 1 ) ) as t1 ) and ( select (func_vqa(""can you find any anatomical findings in the right chest wall?"", t2.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 10020740 and tb_cxr.studydatetime < ( select distinct tb_cxr.studydatetime from tb_cxr where tb_cxr.study_id in ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 10020740 and strftime('%Y',tb_cxr.studydatetime) = '2104' order by tb_cxr.studydatetime desc limit 1 ) ) ) order by tb_cxr.studydatetime desc limit 1 ) as t2 )
0                                                  0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",False,False,local
893,"SELECT ""study_id"", func_vqa(""compared to the previous study, does the first study for patient 13551252 on the first hospital visit reveal any diseases in the left costophrenic angle still absent?"") AS ""findings"" FROM TB_CXR WHERE ""SUBJECT_ID"" = 13551252 ORDER BY ""STUDYDATETIME"" ASC LIMIT 1;","select ( select (func_vqa(""does the left costophrenic angle reveal any diseases?"", t1.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.hadm_id in ( select admissions.hadm_id from admissions where admissions.subject_id = 13551252 and admissions.dischtime is not null order by admissions.admittime asc limit 1 ) order by tb_cxr.studydatetime asc limit 1 ) ) as t1 ) and ( select (func_vqa(""does the left costophrenic angle reveal any diseases?"", t2.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 13551252 and tb_cxr.studydatetime < ( select distinct tb_cxr.studydatetime from tb_cxr where tb_cxr.study_id in ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.hadm_id in ( select admissions.hadm_id from admissions where admissions.subject_id = 13551252 and admissions.dischtime is not null order by admissions.admittime asc limit 1 ) order by tb_cxr.studydatetime asc limit 1 ) ) ) order by tb_cxr.studydatetime desc limit 1 ) as t2 )","                                               error
0  Database error occurred: Execution failed on s...","   ( select (func_vqa(""does the left costophrenic angle reveal any diseases?"", t1.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.hadm_id in ( select admissions.hadm_id from admissions where admissions.subject_id = 13551252 and admissions.dischtime is not null order by admissions.admittime asc limit 1 ) order by tb_cxr.studydatetime asc limit 1 ) ) as t1 ) and ( select (func_vqa(""does the left costophrenic angle reveal any diseases?"", t2.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 13551252 and tb_cxr.studydatetime < ( select distinct tb_cxr.studydatetime from tb_cxr where tb_cxr.study_id in ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.hadm_id in ( select admissions.hadm_id from admissions where admissions.subject_id = 13551252 and admissions.dischtime is not null order by admissions.admittime asc limit 1 ) order by tb_cxr.studydatetime asc limit 1 ) ) ) order by tb_cxr.studydatetime desc limit 1 ) as t2 )
0                                                  1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ",False,False,local
1338,"SELECT func_vqa(""Are any tubes/lines in the right upper lung zone still absent compared to the previous study? for study 2103"") FROM ""TB_CXR"" WHERE ""SUBJECT_ID"" = 18916144 ORDER BY ""STUDYDATETIME"" DESC LIMIT 1;","select ( select (func_vqa(""can you find any tubes/lines in the right upper lung zone?"", t1.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 18916144 and strftime('%y',tb_cxr.studydatetime) = '2103' order by tb_cxr.studydatetime desc limit 1 ) ) as t1 ) and ( select (func_vqa(""can you find any tubes/lines in the right upper lung zone?"", t2.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 18916144 and tb_cxr.studydatetime < ( select distinct tb_cxr.studydatetime from tb_cxr where tb_cxr.study_id in ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 18916144 and strftime('%y',tb_cxr.studydatetime) = '2103' order by tb_cxr.studydatetime desc limit 1 ) ) ) order by tb_cxr.studydatetime desc limit 1 ) as t2 )","                                               error
0  Database error occurred: Execution failed on s...","   ( select (func_vqa(""can you find any tubes/lines in the right upper lung zone?"", t1.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 18916144 and strftime('%Y',tb_cxr.studydatetime) = '2103' order by tb_cxr.studydatetime desc limit 1 ) ) as t1 ) and ( select (func_vqa(""can you find any tubes/lines in the right upper lung zone?"", t2.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 18916144 and tb_cxr.studydatetime < ( select distinct tb_cxr.studydatetime from tb_cxr where tb_cxr.study_id in ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 18916144 and strftime('%Y',tb_cxr.studydatetime) = '2103' order by tb_cxr.studydatetime desc limit 1 ) ) ) order by tb_cxr.studydatetime desc limit 1 ) as t2 )
0                                                  0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ",False,False,local
2496,"SELECT ""STUDY_ID"", func_vqa(""Are there any diseases in the right lower lung zone that are still absent compared to the previous study?"", ""STUDY_ID"") AS findings FROM TB_CXR WHERE ""SUBJECT_ID"" = 19103929 AND strftime('%Y', ""STUDYDATETIME"") = strftime('%Y', date('now')) ORDER BY ""STUDYDATETIME"" DESC LIMIT 1;","select ( select (func_vqa(""can you find any diseases in the right lower lung zone?"", t1.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 19103929 and datetime(tb_cxr.studydatetime,'start of year') = datetime(current_time,'start of year','-0 year') order by tb_cxr.studydatetime desc limit 1 ) ) as t1 ) and ( select (func_vqa(""can you find any diseases in the right lower lung zone?"", t2.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 19103929 and tb_cxr.studydatetime < ( select distinct tb_cxr.studydatetime from tb_cxr where tb_cxr.study_id in ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 19103929 and datetime(tb_cxr.studydatetime,'start of year') = datetime(current_time,'start of year','-0 year') order by tb_cxr.studydatetime desc limit 1 ) ) ) order by tb_cxr.studydatetime desc limit 1 ) as t2 )","Empty DataFrame
Columns: [study_id, findings]
Index: []","  ( select (func_vqa(""can you find any diseases in the right lower lung zone?"", t1.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 19103929 and datetime(tb_cxr.studydatetime,'start of year') = datetime(current_time,'start of year','-0 year') order by tb_cxr.studydatetime desc limit 1 ) ) as t1 ) and ( select (func_vqa(""can you find any diseases in the right lower lung zone?"", t2.study_id) = false) from ( select tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 19103929 and tb_cxr.studydatetime < ( select distinct tb_cxr.studydatetime from tb_cxr where tb_cxr.study_id in ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 19103929 and datetime(tb_cxr.studydatetime,'start of year') = datetime(current_time,'start of year','-0 year') order by tb_cxr.studydatetime desc limit 1 ) ) ) order by tb_cxr.studydatetime desc limit 1 ) as t2 )
0                                               None                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ",False,False,local
1,"SELECT ""D1"".""ICD_CODE"" AS ""Diagnosis_ICD_Code"", func_vqa(""Was there any tube/line in the abdomen?"", ""T1"".""STUDY_ID"") AS ""VQA_Result"" FROM ""DIAGNOSES_ICD"" D1 JOIN ""ADMISSIONS"" A ON ""D1"".""HADM_ID"" = ""A"".""HADM_ID"" JOIN ""TB_CXR"" T1 ON ""A"".""SUBJECT_ID"" = ""T1"".""SUBJECT_ID"" WHERE ""D1"".""SUBJECT_ID"" = 12724975 AND ""A"".""ADMITTIME"" >= date('now', '-1 year') AND ""D1"".""ICD_CODE"" = (SELECT ""ICD_CODE"" FROM ""D_ICD_DIAGNOSES"" WHERE ""LONG_TITLE"" LIKE '%hypoxemia%') AND ""T1"".""STUDYDATETIME"" BETWEEN ""A"".""ADMITTIME"" AND ""A"".""DISCHTIME"";","select ( select count(*)>0 from diagnoses_icd where diagnoses_icd.icd_code = ( select d_icd_diagnoses.icd_code from d_icd_diagnoses where d_icd_diagnoses.long_title = 'hypoxemia' ) and diagnoses_icd.hadm_id in ( select admissions.hadm_id from admissions where admissions.subject_id = 12724975 ) and datetime(diagnoses_icd.charttime) <= datetime(current_time,'-1 year') ) and ( select count(distinct t1.study_id) > 0 from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 12724975 and datetime(tb_cxr.studydatetime) <= datetime(current_time,'-1 year') ) ) as t1 where func_vqa(""does a chest x-ray reveal any tubes/lines in the abdomen?"", t1.study_id) = true )","Empty DataFrame
Columns: [Diagnosis_ICD_Code, VQA_Result]
Index: []","   ( select count(*)>0 from diagnoses_icd where diagnoses_icd.icd_code = ( select d_icd_diagnoses.icd_code from d_icd_diagnoses where d_icd_diagnoses.long_title = 'hypoxemia' ) and diagnoses_icd.hadm_id in ( select admissions.hadm_id from admissions where admissions.subject_id = 12724975 ) and datetime(diagnoses_icd.charttime) <= datetime(current_time,'-1 year') ) and ( select count(distinct t1.study_id) > 0 from ( select tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 12724975 and datetime(tb_cxr.studydatetime) <= datetime(current_time,'-1 year') ) ) as t1 where func_vqa(""does a chest x-ray reveal any tubes/lines in the abdomen?"", t1.study_id) = true )
0                                                  0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",False,False,local
6,"SELECT ""P"".""SUBJECT_ID"", func_vqa(""did this patient have any abnormalities in the left costophrenic angle within the same month after being diagnosed with personal history of malignant neoplasm of rectum, rectosigmoid junction, and anus"", ""TB"".""STUDY_ID"") AS ""VQA_Result"" FROM ""PATIENTS"" ""P"" JOIN ""DIAGNOSES_ICD"" ""DIAG"" ON ""P"".""SUBJECT_ID"" = ""DIAG"".""SUBJECT_ID"" JOIN ""D_ICD_DIAGNOSES"" ""D_ICD"" ON ""DIAG"".""ICD_CODE"" = ""D_ICD"".""ICD_CODE"" JOIN ""TB_CXR"" ""TB"" ON ""P"".""SUBJECT_ID"" = ""TB"".""SUBJECT_ID"" AND strftime('%Y-%m', ""DIAG"".""CHARTTIME"") = strftime('%Y-%m', ""TB"".""STUDYDATETIME"") WHERE ""P"".""SUBJECT_ID"" = 10762986 AND ""D_ICD"".""LONG_TITLE"" LIKE '%personal history of malignant neoplasm of rectum, rectosigmoid junction, and anus%' AND strftime('%Y', ""DIAG"".""CHARTTIME"") >= 2103;","select count(*)>0 from ( select diagnoses_icd.charttime from diagnoses_icd where diagnoses_icd.icd_code = ( select d_icd_diagnoses.icd_code from d_icd_diagnoses where d_icd_diagnoses.long_title = 'personal history of malignant neoplasm of rectum, rectosigmoid junction, and anus' ) and diagnoses_icd.hadm_id in ( select admissions.hadm_id from admissions where admissions.subject_id = 10762986 ) and strftime('%y',diagnoses_icd.charttime) >= '2103' ) as t1 join ( select tb_cxr.studydatetime from tb_cxr where tb_cxr.study_id in ( select distinct t2.study_id from ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 10762986 and strftime('%y',tb_cxr.studydatetime) >= '2103' ) ) as t2 where func_vqa(""is any abnormality shown in the left costophrenic angle on a chest x-ray?"", t2.study_id) = true ) ) as t3 where t1.charttime < t3.studydatetime and datetime(t1.charttime,'start of month') = datetime(t3.studydatetime,'start of month')","   subject_id VQA_Result
0    10762986           
1    10762986           
2    10762986           ","   count(*)>0
0           1",False,False,local
11,"SELECT ""st"".""STUDY_ID"" FROM ""TB_CXR"" AS ""st"" JOIN ""DIAGNOSES_ICD"" AS ""di"" ON ""st"".""SUBJECT_ID"" = ""di"".""SUBJECT_ID"" JOIN ""D_ICD_DIAGNOSES"" AS ""d_icd"" ON ""di"".""ICD_CODE"" = ""d_icd"".""ICD_CODE"" WHERE ""di"".""SUBJECT_ID"" = 10405915 AND ""d_icd"".""LONG_TITLE"" = 'Unspecified pleural effusion' AND ""di"".""CHARTTIME"" BETWEEN date('now', '-2 years') AND date('now', '-1 years') AND strftime('%Y-%m', ""st"".""STUDYDATETIME"") = strftime('%Y-%m', ""di"".""CHARTTIME"", '+1 month') AND 'yes' IN (SELECT value FROM func_vqa(""Does the chest x-ray show any abnormalities in the left hemidiaphragm?"", ""st"".""STUDY_ID""))","select count(*)>0 from ( select diagnoses_icd.charttime from diagnoses_icd where diagnoses_icd.icd_code = ( select d_icd_diagnoses.icd_code from d_icd_diagnoses where d_icd_diagnoses.long_title = 'unspecified pleural effusion' ) and diagnoses_icd.hadm_id in ( select admissions.hadm_id from admissions where admissions.subject_id = 10405915 ) and datetime(diagnoses_icd.charttime) >= datetime(current_time,'-2 year') ) as t1 join ( select tb_cxr.studydatetime from tb_cxr where tb_cxr.study_id in ( select distinct t2.study_id from ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.study_id in ( select distinct tb_cxr.study_id from tb_cxr where tb_cxr.subject_id = 10405915 and datetime(tb_cxr.studydatetime) >= datetime(current_time,'-2 year') ) ) as t2 where func_vqa(""is any abnormality shown in the left hemidiaphragm on a chest x-ray?"", t2.study_id) = true ) ) as t3 where t1.charttime < t3.studydatetime and datetime(t1.charttime,'start of month') = datetime(t3.studydatetime,'start of month')","                                               error
0  Database error occurred: Execution failed on s...","   count(*)>0
0           1",False,False,local
